experiment,purpose,dataset,variant,variant_group,description,fixed_structure_branch,score_mode,fixed_motion_weight,asr_density_gain,uses_structure,uses_density_in_scale_fusion,uses_density_in_motion_structure_fusion,selected_final_fusion,split_for_tracks,split_for_eval,IoU-HOTA,IoU-IDF1,IoU-MOTA,delta_HOTA_vs_MS-LSFTrack,delta_IDF1_vs_MS-LSFTrack,delta_MOTA_vs_MS-LSFTrack
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,structure_only_selected,structure only reference,selected structure branch from Experiment 2,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",structure_zscore,n/a,n/a,yes,yes,no,no,test,test,0.419234,0.373801,0.512819,-0.018626,-0.021455,-0.010816
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,fixed_m0p5,fusion mechanism,fixed fusion m=0.50,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.5,n/a,yes,yes,no,no,test,test,0.443590,0.401722,0.512631,0.005730,0.006466,-0.011004
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,fixed_m0p75,fusion mechanism,fixed fusion m=0.75,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.75,n/a,yes,yes,no,no,test,test,0.431600,0.391036,0.498160,-0.006260,-0.004220,-0.025475
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,residual,fusion mechanism,residual gate,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",residual,n/a,n/a,yes,yes,no,no,test,test,0.409002,0.364659,0.507428,-0.028858,-0.030597,-0.016207
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,competitive,fusion mechanism,competitive gate,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",competitive,n/a,n/a,yes,yes,no,no,test,test,0.410773,0.365646,0.513198,-0.027087,-0.029610,-0.010437
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,MS-LSFTrack,selected final fusion,released ambiguity-rerank motion-structure association,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",ambiguity_rerank,n/a,0.000000,yes,yes,no,yes,test,test,0.437860,0.395256,0.523635,0.000000,0.000000,0.000000
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,structure_only_selected,structure only reference,selected structure branch from Experiment 2,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",structure_zscore,n/a,n/a,yes,yes,no,no,test,test,0.322840,0.254017,0.227947,-0.039489,-0.027180,-0.005501
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,fixed_m0p5,fusion mechanism,fixed fusion m=0.50,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.5,n/a,yes,yes,no,no,test,test,0.347594,0.274191,0.225600,-0.014735,-0.007006,-0.007848
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,fixed_m0p75,fusion mechanism,fixed fusion m=0.75,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.75,n/a,yes,yes,no,no,test,test,0.339266,0.266543,0.225508,-0.023063,-0.014654,-0.007940
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,residual,fusion mechanism,residual gate,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",residual,n/a,n/a,yes,yes,no,no,test,test,0.349766,0.267222,0.232205,-0.012563,-0.013975,-0.001243
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,competitive,fusion mechanism,competitive gate,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",competitive,n/a,n/a,yes,yes,no,no,test,test,0.327013,0.257686,0.223920,-0.035316,-0.023511,-0.009528
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,MS-LSFTrack,selected final fusion,released ambiguity-rerank motion-structure association,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",ambiguity_rerank,n/a,0.000000,yes,yes,no,yes,test,test,0.362329,0.281197,0.233448,0.000000,0.000000,0.000000
