experiment,purpose,dataset,structure_radius,score_mode,scale_mode,uses_motion,uses_density,split_for_tracks,split_for_eval,IoU-HOTA,IoU-IDF1,IoU-MOTA,best_HOTA,best_IDF1,best_MOTA,source_tracker
01_single_scale_structure_only,scale sensitivity of local structure association,IR-DMSTrack-v3,5,structure_zscore,single_radius,no,no,test,test,0.225957,0.170449,0.272860,no,no,no,ablate_ird_v3_structure_radius_r5
01_single_scale_structure_only,scale sensitivity of local structure association,IR-DMSTrack-v3,10,structure_zscore,single_radius,no,no,test,test,0.348998,0.302788,0.487374,no,no,no,ablate_ird_v3_structure_radius_r10
01_single_scale_structure_only,scale sensitivity of local structure association,IR-DMSTrack-v3,15,structure_zscore,single_radius,no,no,test,test,0.405681,0.359922,0.508755,no,no,yes,ablate_ird_v3_structure_radius_r15
01_single_scale_structure_only,scale sensitivity of local structure association,IR-DMSTrack-v3,20,structure_zscore,single_radius,no,no,test,test,0.410978,0.365685,0.503497,no,no,no,ablate_ird_v3_structure_radius_r20
01_single_scale_structure_only,scale sensitivity of local structure association,IR-DMSTrack-v3,25,structure_zscore,single_radius,no,no,test,test,0.411110,0.366166,0.497041,yes,yes,no,ablate_ird_v3_structure_radius_r25
01_single_scale_structure_only,scale sensitivity of local structure association,IR-DMSTrack-v3,30,structure_zscore,single_radius,no,no,test,test,0.407279,0.363960,0.491369,no,no,no,ablate_ird_v3_structure_radius_r30
01_single_scale_structure_only,scale sensitivity of local structure association,GMOT-40-small-target,5,structure_zscore,single_radius,no,no,test,test,0.276700,0.203593,0.199112,no,no,no,ablate_gmot_structure_radius_r5
01_single_scale_structure_only,scale sensitivity of local structure association,GMOT-40-small-target,10,structure_zscore,single_radius,no,no,test,test,0.318756,0.247751,0.221895,no,yes,no,ablate_gmot_structure_radius_r10
01_single_scale_structure_only,scale sensitivity of local structure association,GMOT-40-small-target,15,structure_zscore,single_radius,no,no,test,test,0.306548,0.231045,0.224979,no,no,no,ablate_gmot_structure_radius_r15
01_single_scale_structure_only,scale sensitivity of local structure association,GMOT-40-small-target,20,structure_zscore,single_radius,no,no,test,test,0.313528,0.240549,0.223138,no,no,no,ablate_gmot_structure_radius_r20
01_single_scale_structure_only,scale sensitivity of local structure association,GMOT-40-small-target,25,structure_zscore,single_radius,no,no,test,test,0.318759,0.238366,0.226175,yes,no,yes,ablate_gmot_structure_radius_r25
01_single_scale_structure_only,scale sensitivity of local structure association,GMOT-40-small-target,30,structure_zscore,single_radius,no,no,test,test,0.306661,0.227647,0.224150,no,no,no,ablate_gmot_structure_radius_r30
