experiment,purpose,dataset,scale_pool,variant,score_mode,scale_mode,density_direction,density_lambda,uses_motion,uses_density_in_scale_fusion,split_for_tracks,split_for_eval,IoU-HOTA,IoU-IDF1,IoU-MOTA,delta_HOTA_vs_learned,delta_IDF1_vs_learned,delta_MOTA_vs_learned,delta_HOTA_vs_uniform,delta_IDF1_vs_uniform,delta_MOTA_vs_uniform,source_tracker
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,IR-DMSTrack-v3,"10,15,20",uniform average of three structure scales,structure_zscore,uniform,n/a,n/a,no,no,test,test,0.412303,0.367955,0.513988,-0.006337,-0.006245,0.003250,0.000000,0.000000,0.000000,ablate_ird_v3_so_uniform_10_15_20
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,IR-DMSTrack-v3,"10,15,20",learned scale weights from structure branch,structure_zscore,learned,normal,n/a,no,no,test,test,0.418640,0.374199,0.510737,0.000000,0.000000,0.000000,0.006337,0.006245,-0.003250,ablate_ird_v3_so_ext_10_15_20_learned
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,IR-DMSTrack-v3,"10,15,20",density-only scale prior,structure_zscore,density,normal,1.0,no,yes,test,test,0.405611,0.360631,0.509613,-0.013029,-0.013568,-0.001125,-0.006692,-0.007324,-0.004375,ablate_ird_v3_so_ext_10_15_20_density_normal_l1p0
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,IR-DMSTrack-v3,"10,15,20",learned weights corrected by density prior,structure_zscore,learned_density,normal,0.25,no,yes,test,test,0.418313,0.374768,0.511625,-0.000327,0.000569,0.000888,0.006011,0.006813,-0.002362,ablate_ird_v3_so_ext_10_15_20_learned_density_normal_l0p25
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,IR-DMSTrack-v3,"10,15,20",learned weights corrected by density prior,structure_zscore,learned_density,normal,0.5,no,yes,test,test,0.419234,0.373801,0.512819,0.000593,-0.000399,0.002081,0.006931,0.005846,-0.001169,ablate_ird_v3_so_ext_10_15_20_learned_density_normal_l0p5
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,GMOT-40-small-target,"10,15,20",uniform average of three structure scales,structure_zscore,uniform,n/a,n/a,no,no,test,test,0.319620,0.245206,0.227188,0.001628,-0.001873,0.000207,0.000000,0.000000,0.000000,ablate_gmot_so_uniform_10_15_20
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,GMOT-40-small-target,"10,15,20",learned scale weights from structure branch,structure_zscore,learned,normal,n/a,no,no,test,test,0.317991,0.247079,0.226981,0.000000,0.000000,0.000000,-0.001628,0.001873,-0.000207,ablate_gmot_so_ext_10_15_20_learned
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,GMOT-40-small-target,"10,15,20",density-only scale prior,structure_zscore,density,normal,1.0,no,yes,test,test,0.298899,0.227875,0.225048,-0.019093,-0.019204,-0.001933,-0.020721,-0.017331,-0.002140,ablate_gmot_so_ext_10_15_20_density_normal_l1p0
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,GMOT-40-small-target,"10,15,20",learned weights corrected by density prior,structure_zscore,learned_density,normal,0.25,no,yes,test,test,0.320957,0.249223,0.226958,0.002966,0.002143,-0.000023,0.001337,0.004017,-0.000230,ablate_gmot_so_ext_10_15_20_learned_density_normal_l0p25
02_structure_only_multiscale_density,multi-scale structure fusion and density-guided scale selection,GMOT-40-small-target,"10,15,20",learned weights corrected by density prior,structure_zscore,learned_density,normal,0.5,no,yes,test,test,0.322840,0.254017,0.227947,0.004848,0.006938,0.000967,0.003220,0.008811,0.000759,ablate_gmot_so_ext_10_15_20_learned_density_normal_l0p5
