experiment,purpose,dataset,variant,variant_group,description,fixed_structure_branch,score_mode,fixed_motion_weight,asr_density_gain,uses_structure,uses_density_in_scale_fusion,uses_density_in_motion_structure_fusion,split_for_tracks,split_for_eval,IoU-HOTA,IoU-IDF1,IoU-MOTA,delta_HOTA_vs_nearest,delta_IDF1_vs_nearest,delta_MOTA_vs_nearest,source_tracker
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,motion_anchor_nearest,motion anchor,"last_distance nearest anchor, no structure","radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",last_distance,n/a,n/a,no,no,no,test,test,0.437695,0.394102,0.521706,0.000000,0.000000,0.000000,ablate_ird_v3_modules_den101520_l05_nearest_neighbor
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,structure_only_selected,structure only reference,selected structure branch from Experiment 2,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",structure_zscore,n/a,n/a,yes,yes,no,test,test,0.419234,0.373801,0.512819,-0.018461,-0.020302,-0.008888,ablate_ird_v3_modules_den101520_l05_structure_only
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,fixed_m0p25,fusion mechanism,fixed fusion m=0.25,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.25,n/a,yes,yes,no,test,test,0.445022,0.403078,0.514846,0.007327,0.008976,-0.006861,ablate_ird_v3_fusion_rerun_den101520_l05_fixed_m0p25
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,fixed_m0p5,fusion mechanism,fixed fusion m=0.50,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.5,n/a,yes,yes,no,test,test,0.443590,0.401722,0.512631,0.005896,0.007620,-0.009075,ablate_ird_v3_fusion_rerun_den101520_l05_fixed_m0p5
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,fixed_m0p75,fusion mechanism,fixed fusion m=0.75,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.75,n/a,yes,yes,no,test,test,0.431600,0.391036,0.498160,-0.006094,-0.003066,-0.023546,ablate_ird_v3_fusion_rerun_den101520_l05_fixed_m0p75
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,residual,fusion mechanism,residual gate,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",residual,n/a,n/a,yes,yes,no,test,test,0.409002,0.364659,0.507428,-0.028692,-0.029443,-0.014279,ablate_ird_v3_fusion_rerun_den101520_l05_residual
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,competitive,fusion mechanism,competitive gate,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",competitive,n/a,n/a,yes,yes,no,test,test,0.410773,0.365646,0.513198,-0.026922,-0.028456,-0.008508,ablate_ird_v3_fusion_rerun_den101520_l05_competitive_gate
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,asr_default_no_fusion_density,ASR density-control isolation,"ASR default, density used only in scale fusion","radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",ambiguity_rerank,n/a,0.000000,yes,yes,no,test,test,0.437860,0.395256,0.523635,0.000165,0.001153,0.001928,ablate_ird_v3_fusion_den101520_l05_asr_default_no_fusion_density
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,IR-DMSTrack-v3,asr_default_with_fusion_density,ASR density-control isolation,"ASR default, density also modulates structure intervention gain","radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",ambiguity_rerank,n/a,1.000000,yes,yes,yes,test,test,0.437697,0.394436,0.523773,0.000002,0.000334,0.002067,from_existing_asr_default_density_lambda_table
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,motion_anchor_nearest,motion anchor,"last_distance nearest anchor, no structure","radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",last_distance,n/a,n/a,no,no,no,test,test,0.359946,0.279458,0.233655,0.000000,0.000000,0.000000,ablate_gmot_modules_den101520_l05_nearest_neighbor
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,structure_only_selected,structure only reference,selected structure branch from Experiment 2,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",structure_zscore,n/a,n/a,yes,yes,no,test,test,0.322840,0.254017,0.227947,-0.037106,-0.025441,-0.005707,ablate_gmot_modules_den101520_l05_structure_only
03_motion_structure_fusion_fixed_structure,fusion between motion anchor and the selected density-guided structure branch,GMOT-40-small-target,fixed_m0p25,fusion mechanism,fixed fusion m=0.25,"radii=10,15,20; scale_mode=learned_density; density_direction=normal; density_lambda=0.5",fixed_fusion,0.25,n/a,yes,yes,no,test,test,0.328344,0.254908,0.227257,-0.031602,-0.024549,-0.006398,ablate_gmot_fusion_rerun_den101520_l05_fixed_m0p25
